0,R do Alecrim
1,R Corpo Santo
2,Tv Corpo Santo
3,R Bernardino da Costa
4,Lg Conde-Barão
5,Tv Marquês de Sampaio
6,R da Boavista
7,Tv do Cais do Tojo
8,R Cais do Tojo
9,Bqr do Duro
10,Tv Santa Catarina
11,R Ferreiros a Santa Catarina
12,R Instituto Industrial
13,R Santa Catarina
14,R Moeda
15,Tv Carvalho
16,R Dom Luís I
17,Pc Dom Luís I
18,Tv Condessa do Rio
19,R Ribeira Nova
20,R São Paulo
21,R Nova do Carvalho
22,R Remolares
23,Tv dos Remolares
24,Cais do Sodré
25,Bc da Moeda
26,Pto Galega
27,Bc da Boavista
28,Tv Ribeira Nova
29,Pc Ribeira Nova
30,Pc São Paulo
31,Pc Duque da Terceira
32,Lg Corpo Santo
33,Bc Francisco André
34,Tv de São Paulo
35,Av 24 de Julho
